"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.982750";"08.07.2018 03:18:14.982950";-52,16634;-47,74123;60,88594;61,34633;-12,9529;-8,474634;-47697,79;-47092,7;25257,88;29597,62;17495,09;22439,92
"08.07.2018 03:18:14.982950";"08.07.2018 03:18:14.983151";-54,28276;-52,16634;59,70814;60,88594;-8,474634;-5,415151;-47707,36;-47697,79;23276,43;25257,88;22439,92;24430,93
"08.07.2018 03:18:14.983151";"08.07.2018 03:18:14.983351";-56,25802;-54,28276;57,75327;59,70814;-5,415151;-1,718689;-47707,36;-47575,01;21279,46;23276,43;24430,93;26295,56
"08.07.2018 03:18:14.983351";"08.07.2018 03:18:14.983551";-59,57698;-56,25802;52,23721;57,75327;-1,718689;6,739421;-47575,01;-46958,05;17888,97;21279,46;26295,56;29069,08
"08.07.2018 03:18:14.983551";"08.07.2018 03:18:14.983752";-60,89391;-59,57698;49,3563;52,23721;6,739421;10,826;-46958,05;-46498,86;15845,24;17888,97;29069,08;30653,63
"08.07.2018 03:18:14.983752";"08.07.2018 03:18:14.983952";-62,00875;-60,89391;46,84354;49,3563;10,826;14,40396;-46498,86;-46043,76;13844,73;15845,24;30653,63;32199,03
"08.07.2018 03:18:14.983952";"08.07.2018 03:18:14.984153";-62,93893;-62,00875;44,86395;46,84354;14,40396;17,3238;-46043,76;-45323,51;11400,34;13844,73;32199,03;33923,17
"08.07.2018 03:18:14.984153";"08.07.2018 03:18:14.984353";-63,00145;-62,56238;42,09529;44,86395;17,3238;21,3612;-45323,51;-43767,1;6324,373;11400,34;33923,17;37442,73
"08.07.2018 03:18:14.984353";"08.07.2018 03:18:14.984554";-63,09106;-63,00145;40,6851;42,09529;21,3612;22,91608;-43767,1;-42723,8;3665,734;6324,373;37442,73;39058,07
"08.07.2018 03:18:14.984554";"08.07.2018 03:18:14.984754";-63,09106;-62,75653;38,77852;40,6851;22,91608;24,53767;-42723,8;-41657,95;1198,9;3665,734;39058,07;40459,05
"08.07.2018 03:18:14.984754";"08.07.2018 03:18:14.984954";-62,75653;-61,98679;36,15519;38,77852;24,53767;26,41669;-41657,95;-40583,91;-986,5732;1198,9;40459,05;41570,49
"08.07.2018 03:18:14.984954";"08.07.2018 03:18:14.985155";-61,98679;-59,59563;28,95167;36,15519;26,41669;31,15468;-40583,91;-38385,97;-5028,402;-986,5732;41570,49;43414,38
"08.07.2018 03:18:14.985155";"08.07.2018 03:18:14.985355";-59,59563;-58,41358;24,94215;28,95167;31,15468;33,8714;-38385,97;-37065,52;-7114,223;-5028,402;43414,38;44179,75
"08.07.2018 03:18:14.985355";"08.07.2018 03:18:14.985556";-58,41358;-57,56027;21,1631;24,94215;33,8714;36,64214;-37065,52;-35643,67;-9364,319;-7114,223;44179,75;45008
"08.07.2018 03:18:14.985556";"08.07.2018 03:18:14.985756";-57,56027;-57,17452;15,20323;21,1631;36,64214;41,88782;-35643,67;-31904,33;-14380,53;-9364,319;45008;46284,87
"08.07.2018 03:18:14.985756";"08.07.2018 03:18:14.985956";-57,54545;-57,23488;12,95632;15,20323;41,88782;44,24975;-31904,33;-29977,15;-16931,43;-14380,53;46284,87;46908,59
"08.07.2018 03:18:14.985956";"08.07.2018 03:18:14.986157";-57,78127;-57,54545;10,84018;12,95632;44,24975;46,43369;-29977,15;-27912,62;-19380,67;-16931,43;46908,59;47293,29
"08.07.2018 03:18:14.986157";"08.07.2018 03:18:14.986357";-57,78127;-57,58314;8,49075;10,84018;46,43369;48,46384;-27912,62;-25698,35;-21938,34;-19380,67;47293,29;47636,7
